scenario_id,mode,route_a,route_b,edge_jaccard
od_01,walking,walking-1,walking-2,0.014084507042253521
od_01,walking,walking-1,walking-3,0.01195219123505976
od_01,walking,walking-1,walking-4,0.027210884353741496
od_01,walking,walking-1,walking-5,0.05844155844155844
od_01,walking,walking-1,walking-6,0.28125
od_01,walking,walking-1,walking-7,0.9473684210526315
od_01,walking,walking-1,walking-8,0.9565217391304348
od_01,walking,walking-2,walking-3,0.024793388429752067
od_01,walking,walking-2,walking-4,0.020689655172413793
od_01,walking,walking-2,walking-5,0.08843537414965986
od_01,walking,walking-2,walking-6,0.11627906976744186
od_01,walking,walking-2,walking-7,0.004651162790697674
od_01,walking,walking-2,walking-8,0.013888888888888888
od_01,walking,walking-3,walking-4,0.003003003003003003
od_01,walking,walking-3,walking-5,0.1365079365079365
od_01,walking,walking-3,walking-6,0.022058823529411766
od_01,walking,walking-3,walking-7,0.01195219123505976
od_01,walking,walking-3,walking-8,0.011811023622047244
od_01,walking,walking-4,walking-5,0.0024691358024691358
od_01,walking,walking-4,walking-6,0.025157232704402517
od_01,walking,walking-4,walking-7,0.027210884353741496
od_01,walking,walking-4,walking-8,0.026936026936026935
od_01,walking,walking-5,walking-6,0.04790419161676647
od_01,walking,walking-5,walking-7,0.05844155844155844
od_01,walking,walking-5,walking-8,0.05787781350482315
od_01,walking,walking-6,walking-7,0.26804123711340205
od_01,walking,walking-6,walking-8,0.296875
od_01,walking,walking-7,walking-8,0.9067796610169492
od_01,motorbike,motorbike-1,motorbike-2,0.011764705882352941
od_01,motorbike,motorbike-1,motorbike-3,0.07692307692307693
od_01,motorbike,motorbike-1,motorbike-4,0.0
od_01,motorbike,motorbike-1,motorbike-5,0.012012012012012012
od_01,motorbike,motorbike-1,motorbike-6,0.0
od_01,motorbike,motorbike-1,motorbike-7,0.025157232704402517
od_01,motorbike,motorbike-1,motorbike-8,0.004123711340206186
od_01,motorbike,motorbike-2,motorbike-3,0.002932551319648094
od_01,motorbike,motorbike-2,motorbike-4,0.018970189701897018
od_01,motorbike,motorbike-2,motorbike-5,0.00847457627118644
od_01,motorbike,motorbike-2,motorbike-6,0.0024390243902439024
od_01,motorbike,motorbike-2,motorbike-7,0.03592814371257485
od_01,motorbike,motorbike-2,motorbike-8,0.0
od_01,motorbike,motorbike-3,motorbike-4,0.0
od_01,motorbike,motorbike-3,motorbike-5,0.014457831325301205
od_01,motorbike,motorbike-3,motorbike-6,0.004228329809725159
od_01,motorbike,motorbike-3,motorbike-7,0.017369727047146403
od_01,motorbike,motorbike-3,motorbike-8,0.0035149384885764497
od_01,motorbike,motorbike-4,motorbike-5,0.0
od_01,motorbike,motorbike-4,motorbike-6,0.005928853754940711
od_01,motorbike,motorbike-4,motorbike-7,0.01834862385321101
od_01,motorbike,motorbike-4,motorbike-8,0.0049833887043189366
od_01,motorbike,motorbike-5,motorbike-6,0.006160164271047228
od_01,motorbike,motorbike-5,motorbike-7,0.0023584905660377358
od_01,motorbike,motorbike-5,motorbike-8,0.003424657534246575
od_01,motorbike,motorbike-6,motorbike-7,0.0041928721174004195
od_01,motorbike,motorbike-6,motorbike-8,0.003134796238244514
od_01,motorbike,motorbike-7,motorbike-8,0.0017421602787456446
od_02,walking,walking-1,walking-2,0.03076923076923077
od_02,walking,walking-1,walking-3,0.049586776859504134
od_02,walking,walking-1,walking-4,0.009009009009009009
od_02,walking,walking-1,walking-5,0.03914590747330961
od_02,walking,walking-1,walking-6,0.03205128205128205
od_02,walking,walking-1,walking-7,0.08560311284046693
od_02,walking,walking-1,walking-8,0.656441717791411
od_02,walking,walking-2,walking-3,0.03305785123966942
od_02,walking,walking-2,walking-4,0.006060606060606061
od_02,walking,walking-2,walking-5,0.03597122302158273
od_02,walking,walking-2,walking-6,0.022508038585209004
od_02,walking,walking-2,walking-7,0.0299625468164794
od_02,walking,walking-2,walking-8,0.031007751937984496
od_02,walking,walking-3,walking-4,0.019230769230769232
od_02,walking,walking-3,walking-5,0.026217228464419477
od_02,walking,walking-3,walking-6,0.030508474576271188
od_02,walking,walking-3,walking-7,0.06967213114754098
od_02,walking,walking-3,walking-8,0.05
od_02,walking,walking-4,walking-5,0.017142857142857144
od_02,walking,walking-4,walking-6,0.015789473684210527
od_02,walking,walking-4,walking-7,0.023880597014925373
od_02,walking,walking-4,walking-8,0.00906344410876133
od_02,walking,walking-5,walking-6,0.058823529411764705
od_02,walking,walking-5,walking-7,0.023972602739726026
od_02,walking,walking-5,walking-8,0.03942652329749104
od_02,walking,walking-6,walking-7,0.04777070063694268
od_02,walking,walking-6,walking-8,0.03225806451612903
od_02,walking,walking-7,walking-8,0.1589958158995816
od_02,motorbike,motorbike-1,motorbike-2,0.03076923076923077
od_02,motorbike,motorbike-1,motorbike-3,0.05
od_02,motorbike,motorbike-1,motorbike-4,0.01048951048951049
od_02,motorbike,motorbike-1,motorbike-5,0.03728813559322034
od_02,motorbike,motorbike-1,motorbike-6,0.00872093023255814
od_02,motorbike,motorbike-1,motorbike-7,0.03355704697986577
od_02,motorbike,motorbike-1,motorbike-8,0.005333333333333333
od_02,motorbike,motorbike-2,motorbike-3,0.03333333333333333
od_02,motorbike,motorbike-2,motorbike-4,0.03636363636363636
od_02,motorbike,motorbike-2,motorbike-5,0.03424657534246575
od_02,motorbike,motorbike-2,motorbike-6,0.005865102639296188
od_02,motorbike,motorbike-2,motorbike-7,0.02356902356902357
od_02,motorbike,motorbike-2,motorbike-8,0.005390835579514825
od_02,motorbike,motorbike-3,motorbike-4,0.011278195488721804
od_02,motorbike,motorbike-3,motorbike-5,0.025089605734767026
od_02,motorbike,motorbike-3,motorbike-6,0.018691588785046728
od_02,motorbike,motorbike-3,motorbike-7,0.03225806451612903
od_02,motorbike,motorbike-3,motorbike-8,0.005633802816901409
od_02,motorbike,motorbike-4,motorbike-5,0.006230529595015576
od_02,motorbike,motorbike-4,motorbike-6,0.02535211267605634
od_02,motorbike,motorbike-4,motorbike-7,0.006191950464396285
od_02,motorbike,motorbike-4,motorbike-8,0.023376623376623377
od_02,motorbike,motorbike-5,motorbike-6,0.016
od_02,motorbike,motorbike-5,motorbike-7,0.09967845659163987
od_02,motorbike,motorbike-5,motorbike-8,0.03526448362720403
od_02,motorbike,motorbike-6,motorbike-7,0.015915119363395226
od_02,motorbike,motorbike-6,motorbike-8,0.029612756264236904
od_02,motorbike,motorbike-7,motorbike-8,0.03508771929824561
od_03,walking,walking-1,walking-2,0.0
od_03,walking,walking-1,walking-3,0.029605263157894735
od_03,walking,walking-1,walking-4,0.018072289156626505
